case	shell	result
0	bash	pass
0	mksh	pass
0	ksh	pass
0	toysh	pass
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	mksh	pass
1	ksh	pass
1	toysh	pass
1	sush	pass
1	brush	pass
1	osh	pass
2	bash	pass
2	mksh	pass
2	ksh	pass
2	toysh	FAIL
2	sush	pass
2	brush	pass
2	osh	pass
3	bash	pass
3	mksh	ok
3	ksh	FAIL
3	toysh	FAIL
3	sush	pass
3	brush	pass
3	osh	pass
4	bash	BUG
4	mksh	ok
4	ksh	FAIL
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	pass
5	bash	pass
5	mksh	ok
5	ksh	FAIL
5	toysh	FAIL
5	sush	FAIL
5	brush	FAIL
5	osh	pass
6	bash	pass
6	mksh	pass
6	ksh	pass
6	toysh	pass
6	sush	pass
6	brush	pass
6	osh	pass
7	bash	pass
7	mksh	pass
7	ksh	pass
7	toysh	pass
7	sush	pass
7	brush	pass
7	osh	pass
8	bash	pass
8	mksh	ok
8	ksh	FAIL
8	toysh	pass
8	sush	FAIL
8	brush	FAIL
8	osh	pass
9	bash	pass
9	mksh	ok
9	ksh	FAIL
9	toysh	pass
9	sush	FAIL
9	brush	FAIL
9	osh	pass
10	bash	ok
10	mksh	pass
10	ksh	pass
10	toysh	FAIL
10	sush	FAIL
10	brush	FAIL
10	osh	ok
11	bash	BUG
11	mksh	pass
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	pass
11	osh	pass
12	bash	pass
12	mksh	pass
12	ksh	pass
12	toysh	pass
12	sush	FAIL
12	brush	pass
12	osh	pass
13	bash	pass
13	mksh	BUG
13	ksh	pass
13	toysh	FAIL
13	sush	FAIL
13	brush	pass
13	osh	pass
14	bash	pass
14	mksh	pass
14	ksh	pass
14	toysh	pass
14	sush	pass
14	brush	pass
14	osh	pass
15	bash	pass
15	mksh	N-I
15	ksh	FAIL
15	toysh	FAIL
15	sush	pass
15	brush	pass
15	osh	pass
16	bash	pass
16	mksh	N-I
16	ksh	FAIL
16	toysh	FAIL
16	sush	pass
16	brush	pass
16	osh	pass
17	bash	pass
17	mksh	pass
17	ksh	pass
17	toysh	FAIL
17	sush	pass
17	brush	pass
17	osh	pass
18	bash	pass
18	mksh	pass
18	ksh	pass
18	toysh	pass
18	sush	pass
18	brush	pass
18	osh	pass
19	bash	BUG
19	mksh	BUG
19	ksh	FAIL
19	toysh	FAIL
19	sush	FAIL
19	brush	FAIL
19	osh	pass
20	bash	BUG
20	mksh	pass
20	ksh	pass
20	toysh	FAIL
20	sush	FAIL
20	brush	FAIL
20	osh	pass
21	bash	BUG
21	mksh	BUG
21	ksh	FAIL
21	toysh	FAIL
21	sush	FAIL
21	brush	FAIL
21	osh	pass
22	bash	pass
22	mksh	pass
22	ksh	pass
22	toysh	pass
22	sush	pass
22	brush	pass
22	osh	pass
23	bash	pass
23	mksh	pass
23	ksh	pass
23	toysh	FAIL
23	sush	pass
23	brush	FAIL
23	osh	pass
24	bash	pass
24	mksh	pass
24	ksh	pass
24	toysh	pass
24	sush	pass
24	brush	pass
24	osh	pass
25	bash	pass
25	mksh	pass
25	ksh	pass
25	toysh	FAIL
25	sush	pass
25	brush	pass
25	osh	pass
26	bash	pass
26	mksh	pass
26	ksh	pass
26	toysh	pass
26	sush	pass
26	brush	FAIL
26	osh	pass
