case	shell	result
0	bash	pass
0	mksh	pass
0	ksh	pass
0	toysh	pass
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	pass
1	brush	pass
1	osh	pass
2	bash	pass
2	mksh	pass
2	ksh	pass
2	toysh	pass
2	sush	pass
2	brush	pass
2	osh	pass
3	bash	pass
3	mksh	pass
3	ksh	pass
3	toysh	pass
3	sush	FAIL
3	brush	pass
3	osh	pass
4	bash	pass
4	mksh	pass
4	ksh	pass
4	toysh	pass
4	sush	pass
4	brush	pass
4	osh	pass
5	bash	pass
5	mksh	pass
5	ksh	pass
5	toysh	pass
5	sush	pass
5	brush	pass
5	osh	pass
6	bash	pass
6	mksh	pass
6	ksh	pass
6	toysh	pass
6	sush	pass
6	brush	pass
6	osh	pass
7	bash	pass
7	mksh	pass
7	ksh	pass
7	toysh	pass
7	sush	pass
7	brush	FAIL
7	osh	pass
8	bash	pass
8	mksh	pass
8	ksh	pass
8	toysh	FAIL
8	sush	pass
8	brush	pass
8	osh	pass
9	bash	pass
9	mksh	pass
9	ksh	pass
9	toysh	pass
9	sush	pass
9	brush	pass
9	osh	pass
10	bash	pass
10	mksh	pass
10	ksh	pass
10	toysh	pass
10	sush	pass
10	brush	pass
10	osh	pass
11	bash	pass
11	mksh	pass
11	ksh	pass
11	toysh	pass
11	sush	pass
11	brush	pass
11	osh	pass
12	bash	pass
12	mksh	pass
12	ksh	pass
12	toysh	pass
12	sush	pass
12	brush	pass
12	osh	pass
13	bash	pass
13	mksh	pass
13	ksh	pass
13	toysh	pass
13	sush	pass
13	brush	pass
13	osh	pass
14	bash	pass
14	mksh	pass
14	ksh	pass
14	toysh	pass
14	sush	pass
14	brush	pass
14	osh	pass
15	bash	pass
15	mksh	pass
15	ksh	pass
15	toysh	pass
15	sush	pass
15	brush	pass
15	osh	pass
16	bash	pass
16	mksh	pass
16	ksh	pass
16	toysh	pass
16	sush	pass
16	brush	pass
16	osh	pass
17	bash	pass
17	mksh	pass
17	ksh	pass
17	toysh	pass
17	sush	pass
17	brush	FAIL
17	osh	pass
18	bash	pass
18	mksh	pass
18	ksh	pass
18	toysh	pass
18	sush	pass
18	brush	pass
18	osh	pass
19	bash	pass
19	mksh	pass
19	ksh	pass
19	toysh	pass
19	sush	pass
19	brush	FAIL
19	osh	pass
20	bash	pass
20	mksh	pass
20	ksh	pass
20	toysh	pass
20	sush	FAIL
20	brush	pass
20	osh	pass
21	bash	pass
21	mksh	ok
21	ksh	pass
21	toysh	FAIL
21	sush	FAIL
21	brush	pass
21	osh	pass
22	bash	pass
22	mksh	ok
22	ksh	pass
22	toysh	FAIL
22	sush	FAIL
22	brush	pass
22	osh	pass
23	bash	pass
23	mksh	pass
23	ksh	pass
23	toysh	pass
23	sush	pass
23	brush	pass
23	osh	pass
24	bash	pass
24	mksh	pass
24	ksh	pass
24	toysh	pass
24	sush	pass
24	brush	pass
24	osh	pass
25	bash	pass
25	mksh	pass
25	ksh	pass
25	toysh	pass
25	sush	pass
25	brush	pass
25	osh	pass
26	bash	pass
26	mksh	pass
26	ksh	pass
26	toysh	pass
26	sush	pass
26	brush	pass
26	osh	pass
27	bash	pass
27	mksh	pass
27	ksh	pass
27	toysh	pass
27	sush	pass
27	brush	pass
27	osh	pass
28	bash	pass
28	mksh	pass
28	ksh	pass
28	toysh	pass
28	sush	pass
28	brush	pass
28	osh	pass
29	bash	pass
29	mksh	pass
29	ksh	pass
29	toysh	pass
29	sush	pass
29	brush	pass
29	osh	pass
30	bash	BUG
30	mksh	pass
30	ksh	pass
30	toysh	pass
30	sush	pass
30	brush	FAIL
30	osh	pass
31	bash	pass
31	mksh	pass
31	ksh	pass
31	toysh	pass
31	sush	pass
31	brush	pass
31	osh	pass
32	bash	pass
32	mksh	BUG
32	ksh	FAIL
32	toysh	pass
32	sush	pass
32	brush	FAIL
32	osh	pass
33	bash	pass
33	mksh	pass
33	ksh	pass
33	toysh	pass
33	sush	pass
33	brush	pass
33	osh	pass
34	bash	pass
34	mksh	pass
34	ksh	pass
34	toysh	pass
34	sush	pass
34	brush	pass
34	osh	pass
35	bash	pass
35	mksh	pass
35	ksh	pass
35	toysh	pass
35	sush	pass
35	brush	pass
