case	shell	result
0	bash	pass
0	mksh	FAIL
0	ksh	FAIL
0	toysh	pass
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	mksh	FAIL
1	ksh	FAIL
1	toysh	pass
1	sush	pass
1	brush	pass
1	osh	pass
2	bash	pass
2	mksh	FAIL
2	ksh	FAIL
2	toysh	pass
2	sush	FAIL
2	brush	FAIL
2	osh	FAIL
3	bash	BUG
3	mksh	FAIL
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	FAIL
3	osh	FAIL
4	bash	ok
4	mksh	FAIL
4	ksh	FAIL
4	toysh	pass
4	sush	pass
4	brush	pass
4	osh	ok
5	bash	pass
5	mksh	FAIL
5	ksh	FAIL
5	toysh	pass
5	sush	pass
5	brush	pass
5	osh	FAIL
6	bash	pass
6	mksh	FAIL
6	ksh	FAIL
6	toysh	pass
6	sush	pass
6	brush	pass
6	osh	FAIL
7	bash	pass
7	mksh	FAIL
7	ksh	FAIL
7	toysh	FAIL
7	sush	FAIL
7	brush	pass
7	osh	FAIL
8	bash	pass
8	mksh	pass
8	ksh	pass
8	toysh	FAIL
8	sush	FAIL
8	brush	pass
8	osh	pass
9	bash	pass
9	mksh	FAIL
9	ksh	FAIL
9	toysh	FAIL
9	sush	FAIL
9	brush	pass
9	osh	ok
10	bash	pass
10	mksh	FAIL
10	ksh	FAIL
10	toysh	FAIL
10	sush	FAIL
10	brush	pass
10	osh	pass
11	bash	pass
11	mksh	FAIL
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	pass
11	osh	pass
12	bash	pass
12	mksh	FAIL
12	ksh	FAIL
12	toysh	FAIL
12	sush	FAIL
12	brush	pass
12	osh	pass
13	bash	pass
13	mksh	FAIL
13	ksh	FAIL
13	toysh	FAIL
13	sush	FAIL
13	brush	pass
13	osh	pass
14	bash	pass
14	mksh	pass
14	ksh	FAIL
14	toysh	pass
14	sush	FAIL
14	brush	pass
14	osh	pass
15	bash	pass
15	mksh	FAIL
15	ksh	FAIL
15	toysh	FAIL
15	sush	FAIL
15	brush	pass
15	osh	FAIL
16	bash	pass
16	mksh	FAIL
16	ksh	FAIL
16	toysh	FAIL
16	sush	FAIL
16	brush	pass
16	osh	pass
17	bash	pass
17	mksh	pass
17	ksh	pass
17	toysh	pass
17	sush	pass
17	brush	pass
17	osh	pass
18	bash	pass
18	mksh	pass
18	ksh	pass
18	toysh	pass
18	sush	pass
18	brush	FAIL
18	osh	pass
19	bash	BUG
19	mksh	FAIL
19	ksh	FAIL
19	toysh	FAIL
19	sush	FAIL
19	brush	FAIL
19	osh	pass
20	bash	pass
20	mksh	FAIL
20	ksh	FAIL
20	toysh	FAIL
20	sush	FAIL
20	brush	pass
20	osh	FAIL
21	bash	pass
21	mksh	FAIL
21	ksh	FAIL
21	toysh	pass
21	sush	pass
21	brush	FAIL
21	osh	pass
22	bash	pass
22	mksh	FAIL
22	ksh	FAIL
22	toysh	FAIL
22	sush	FAIL
22	brush	pass
22	osh	pass
23	bash	pass
23	mksh	FAIL
23	ksh	FAIL
23	toysh	FAIL
23	sush	FAIL
23	brush	FAIL
23	osh	pass
24	bash	ok
24	mksh	FAIL
24	ksh	FAIL
24	toysh	FAIL
24	sush	FAIL
24	brush	FAIL
24	osh	pass
25	bash	ok
25	mksh	FAIL
25	ksh	FAIL
25	toysh	FAIL
25	sush	FAIL
25	brush	pass
25	osh	pass
26	bash	pass
26	mksh	FAIL
26	ksh	FAIL
26	toysh	FAIL
26	sush	FAIL
26	brush	FAIL
26	osh	pass
