case	shell	result
0	bash	ok
0	mksh	ok
0	ksh	FAIL
0	toysh	FAIL
0	sush	FAIL
0	brush	FAIL
0	osh	pass
1	bash	pass
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	pass
1	brush	pass
1	osh	pass
2	bash	pass
2	mksh	pass
2	ksh	pass
2	toysh	FAIL
2	sush	pass
2	brush	pass
2	osh	pass
3	bash	pass
3	mksh	pass
3	ksh	pass
3	toysh	pass
3	sush	pass
3	brush	pass
3	osh	pass
4	bash	pass
4	mksh	pass
4	ksh	pass
4	toysh	FAIL
4	sush	pass
4	brush	pass
4	osh	pass
5	bash	pass
5	mksh	ok
5	ksh	FAIL
5	toysh	pass
5	sush	pass
5	brush	pass
5	osh	pass
