case	shell	result
0	bash	pass
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	mksh	pass
1	ksh	pass
1	toysh	pass
1	sush	FAIL
1	brush	pass
1	osh	pass
2	bash	pass
2	mksh	pass
2	ksh	pass
2	toysh	FAIL
2	sush	FAIL
2	brush	FAIL
2	osh	ok
3	bash	pass
3	mksh	pass
3	ksh	pass
3	toysh	FAIL
3	sush	FAIL
3	brush	FAIL
3	osh	ok
4	bash	pass
4	mksh	pass
4	ksh	pass
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	pass
5	bash	pass
5	mksh	pass
5	ksh	pass
5	toysh	FAIL
5	sush	FAIL
5	brush	FAIL
5	osh	ok
6	bash	pass
6	mksh	pass
6	ksh	pass
6	toysh	FAIL
6	sush	FAIL
6	brush	FAIL
6	osh	pass
7	bash	pass
7	mksh	pass
7	ksh	pass
7	toysh	FAIL
7	sush	FAIL
7	brush	FAIL
7	osh	ok
8	bash	pass
8	mksh	pass
8	ksh	pass
8	toysh	FAIL
8	sush	FAIL
8	brush	FAIL
8	osh	pass
9	bash	pass
9	mksh	pass
9	ksh	pass
9	toysh	FAIL
9	sush	FAIL
9	brush	FAIL
9	osh	pass
10	bash	pass
10	mksh	BUG-2
10	ksh	FAIL
10	toysh	FAIL
10	sush	FAIL
10	brush	FAIL
10	osh	pass
11	bash	pass
11	mksh	N-I
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	FAIL
11	osh	FAIL
12	bash	pass
12	mksh	pass
12	ksh	pass
12	toysh	FAIL
12	sush	FAIL
12	brush	FAIL
12	osh	pass
13	bash	pass
13	mksh	pass
13	ksh	pass
13	toysh	FAIL
13	sush	FAIL
13	brush	FAIL
13	osh	pass
14	bash	pass
14	mksh	pass
14	ksh	pass
14	toysh	FAIL
14	sush	FAIL
14	brush	FAIL
14	osh	pass
