case	shell	result
0	bash	TIME
0	mksh	FAIL
0	ksh	FAIL
0	toysh	FAIL
0	sush	FAIL
0	brush	FAIL
0	osh	pass
1	bash	TIME
1	mksh	FAIL
1	ksh	FAIL
1	toysh	FAIL
1	sush	FAIL
1	brush	FAIL
1	osh	pass
2	bash	TIME
2	mksh	FAIL
2	ksh	FAIL
2	toysh	FAIL
2	sush	FAIL
2	brush	FAIL
2	osh	pass
3	bash	TIME
3	mksh	FAIL
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	FAIL
3	osh	pass
4	bash	N-I
4	mksh	FAIL
4	ksh	FAIL
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	pass
5	bash	N-I
5	mksh	FAIL
5	ksh	FAIL
5	toysh	FAIL
5	sush	FAIL
5	brush	FAIL
5	osh	pass
6	bash	ok
6	mksh	FAIL
6	ksh	FAIL
6	toysh	FAIL
6	sush	FAIL
6	brush	FAIL
6	osh	pass
7	bash	TIME
7	mksh	FAIL
7	ksh	FAIL
7	toysh	FAIL
7	sush	FAIL
7	brush	FAIL
7	osh	pass
8	bash	TIME
8	mksh	FAIL
8	ksh	FAIL
8	toysh	FAIL
8	sush	FAIL
8	brush	FAIL
8	osh	pass
9	bash	TIME
9	mksh	FAIL
9	ksh	FAIL
9	toysh	FAIL
9	sush	FAIL
9	brush	FAIL
9	osh	pass
10	bash	TIME
10	mksh	FAIL
10	ksh	FAIL
10	toysh	FAIL
10	sush	FAIL
10	brush	FAIL
10	osh	pass
11	bash	TIME
11	mksh	FAIL
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	FAIL
11	osh	pass
12	bash	TIME
12	mksh	FAIL
12	ksh	FAIL
12	toysh	FAIL
12	sush	FAIL
12	brush	FAIL
12	osh	pass
13	bash	TIME
13	mksh	FAIL
13	ksh	FAIL
13	toysh	FAIL
13	sush	FAIL
13	brush	pass
13	osh	pass
14	bash	TIME
14	mksh	FAIL
14	ksh	FAIL
14	toysh	FAIL
14	sush	FAIL
14	brush	FAIL
14	osh	pass
15	bash	TIME
15	mksh	FAIL
15	ksh	FAIL
15	toysh	FAIL
15	sush	FAIL
15	brush	pass
15	osh	pass
16	bash	TIME
16	mksh	FAIL
16	ksh	FAIL
16	toysh	FAIL
16	sush	FAIL
16	brush	FAIL
16	osh	pass
17	bash	TIME
17	mksh	FAIL
17	ksh	FAIL
17	toysh	FAIL
17	sush	FAIL
17	brush	FAIL
17	osh	pass
