case	shell	result
0	bash	pass
0	dash	FAIL
0	ash	FAIL
0	zsh	FAIL
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	FAIL
0	brush	FAIL
0	osh	pass
1	bash	pass
1	dash	FAIL
1	ash	FAIL
1	zsh	FAIL
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	FAIL
1	brush	FAIL
1	osh	pass
2	bash	pass
2	dash	FAIL
2	ash	FAIL
2	zsh	FAIL
2	mksh	BUG
2	ksh	FAIL
2	toysh	FAIL
2	sush	FAIL
2	brush	FAIL
2	osh	pass
3	bash	pass
3	dash	FAIL
3	ash	FAIL
3	zsh	FAIL
3	mksh	BUG
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	FAIL
3	osh	pass
4	bash	pass
4	dash	FAIL
4	ash	FAIL
4	zsh	FAIL
4	mksh	pass
4	ksh	pass
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	pass
5	bash	pass
5	dash	FAIL
5	ash	FAIL
5	zsh	FAIL
5	mksh	pass
5	ksh	pass
5	toysh	FAIL
5	sush	FAIL
5	brush	FAIL
5	osh	pass
6	bash	pass
6	dash	FAIL
6	ash	FAIL
6	zsh	FAIL
6	mksh	N-I
6	ksh	FAIL
6	toysh	FAIL
6	sush	FAIL
6	brush	FAIL
6	osh	FAIL
7	bash	pass
7	dash	pass
7	ash	pass
7	zsh	pass
7	mksh	ok
7	ksh	FAIL
7	toysh	pass
7	sush	pass
7	brush	pass
7	osh	pass
8	bash	N-I
8	dash	FAIL
8	ash	FAIL
8	zsh	FAIL
8	mksh	N-I
8	ksh	FAIL
8	toysh	FAIL
8	sush	FAIL
8	brush	FAIL
8	osh	pass
9	bash	pass
9	dash	FAIL
9	ash	FAIL
9	zsh	FAIL
9	mksh	BUG
9	ksh	FAIL
9	toysh	FAIL
9	sush	FAIL
9	brush	FAIL
9	osh	pass
10	bash	pass
10	dash	pass
10	ash	pass
10	zsh	pass
10	mksh	ok
10	ksh	FAIL
10	toysh	pass
10	sush	pass
10	brush	pass
10	osh	pass
11	bash	N-I
11	dash	FAIL
11	ash	FAIL
11	zsh	FAIL
11	mksh	N-I
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	FAIL
11	osh	pass
12	bash	pass
12	dash	FAIL
12	ash	FAIL
12	zsh	pass
12	mksh	ok
12	ksh	pass
12	toysh	FAIL
12	sush	FAIL
12	brush	FAIL
12	osh	pass
13	bash	pass
13	dash	FAIL
13	ash	FAIL
13	zsh	FAIL
13	mksh	ok
13	ksh	FAIL
13	toysh	FAIL
13	sush	FAIL
13	brush	FAIL
13	osh	pass
14	bash	pass
14	dash	FAIL
14	ash	FAIL
14	zsh	FAIL
14	mksh	N-I
14	ksh	FAIL
14	toysh	FAIL
14	sush	FAIL
14	brush	FAIL
14	osh	pass
15	bash	BUG
15	dash	FAIL
15	ash	FAIL
15	zsh	FAIL
15	mksh	N-I
15	ksh	FAIL
15	toysh	FAIL
15	sush	FAIL
15	brush	FAIL
15	osh	pass
16	bash	pass
16	dash	FAIL
16	ash	FAIL
16	zsh	FAIL
16	mksh	ok
16	ksh	FAIL
16	toysh	FAIL
16	sush	pass
16	brush	pass
16	osh	pass
17	bash	pass
17	dash	FAIL
17	ash	FAIL
17	zsh	FAIL
17	mksh	pass
17	ksh	pass
17	toysh	FAIL
17	sush	FAIL
17	brush	FAIL
17	osh	pass
18	bash	ok
18	dash	FAIL
18	ash	FAIL
18	zsh	FAIL
18	mksh	ok
18	ksh	FAIL
18	toysh	FAIL
18	sush	FAIL
18	brush	FAIL
18	osh	pass
19	bash	pass
19	dash	FAIL
19	ash	FAIL
19	zsh	FAIL
19	mksh	pass
19	ksh	pass
19	toysh	FAIL
19	sush	FAIL
19	brush	FAIL
19	osh	pass
20	bash	pass
20	dash	FAIL
20	ash	FAIL
20	zsh	FAIL
20	mksh	pass
20	ksh	pass
20	toysh	FAIL
20	sush	FAIL
20	brush	FAIL
20	osh	pass
21	bash	BUG
21	dash	FAIL
21	ash	FAIL
21	zsh	FAIL
21	mksh	ok
21	ksh	FAIL
21	toysh	FAIL
21	sush	FAIL
21	brush	FAIL
21	osh	pass
22	bash	BUG
22	dash	FAIL
22	ash	FAIL
22	zsh	FAIL
22	mksh	ok
22	ksh	FAIL
22	toysh	FAIL
22	sush	FAIL
22	brush	FAIL
22	osh	pass
23	bash	pass
23	dash	FAIL
23	ash	FAIL
23	zsh	FAIL
23	mksh	pass
23	ksh	pass
23	toysh	FAIL
23	sush	FAIL
23	brush	FAIL
23	osh	pass
24	bash	pass
24	dash	FAIL
24	ash	FAIL
24	zsh	FAIL
24	mksh	pass
24	ksh	pass
24	toysh	FAIL
24	sush	FAIL
24	brush	FAIL
24	osh	pass
25	bash	pass
25	dash	FAIL
25	ash	FAIL
25	zsh	FAIL
25	mksh	pass
25	ksh	pass
25	toysh	FAIL
25	sush	FAIL
25	brush	FAIL
25	osh	FAIL
26	bash	pass
26	dash	FAIL
26	ash	FAIL
26	zsh	FAIL
26	mksh	pass
26	ksh	pass
26	toysh	FAIL
26	sush	FAIL
26	brush	FAIL
26	osh	FAIL
27	bash	pass
27	dash	FAIL
27	ash	FAIL
27	zsh	FAIL
27	mksh	ok
27	ksh	FAIL
27	toysh	FAIL
27	sush	FAIL
27	brush	FAIL
27	osh	FAIL
28	bash	pass
28	dash	FAIL
28	ash	FAIL
28	zsh	FAIL
28	mksh	pass
28	ksh	pass
28	toysh	FAIL
28	sush	FAIL
28	brush	FAIL
28	osh	pass
29	bash	pass
29	dash	FAIL
29	ash	FAIL
29	zsh	FAIL
29	mksh	BUG
29	ksh	FAIL
29	toysh	FAIL
29	sush	FAIL
29	brush	FAIL
29	osh	FAIL
30	bash	ok
30	dash	FAIL
30	ash	FAIL
30	zsh	FAIL
30	mksh	pass
30	ksh	FAIL
30	toysh	FAIL
30	sush	FAIL
30	brush	FAIL
30	osh	FAIL
31	bash	pass
31	dash	FAIL
31	ash	FAIL
31	zsh	FAIL
31	mksh	N-I
31	ksh	FAIL
31	toysh	FAIL
31	sush	FAIL
31	brush	FAIL
31	osh	FAIL
