case	shell	result
0	bash	pass
0	dash	N-I
0	ash	FAIL
0	zsh	ok
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	pass
1	ash	pass
1	zsh	pass
1	mksh	pass
1	ksh	pass
1	toysh	pass
1	sush	pass
1	brush	pass
1	osh	pass
2	bash	pass
2	dash	pass
2	ash	pass
2	zsh	pass
2	mksh	pass
2	ksh	pass
2	toysh	pass
2	sush	pass
2	brush	pass
2	osh	pass
3	bash	pass
3	dash	pass
3	ash	pass
3	zsh	pass
3	mksh	pass
3	ksh	pass
3	toysh	pass
3	sush	pass
3	brush	pass
3	osh	pass
4	bash	pass
4	dash	pass
4	ash	pass
4	zsh	pass
4	mksh	pass
4	ksh	pass
4	toysh	pass
4	sush	pass
4	brush	pass
4	osh	pass
5	bash	pass
5	dash	pass
5	ash	pass
5	zsh	pass
5	mksh	pass
5	ksh	pass
5	toysh	pass
5	sush	pass
5	brush	pass
5	osh	pass
6	bash	pass
6	dash	pass
6	ash	pass
6	zsh	pass
6	mksh	pass
6	ksh	pass
6	toysh	pass
6	sush	pass
6	brush	pass
6	osh	pass
7	bash	N-I
7	dash	N-I
7	ash	FAIL
7	zsh	N-I
7	mksh	pass
7	ksh	pass
7	toysh	pass
7	sush	FAIL
7	brush	pass
7	osh	pass
8	bash	pass
8	dash	pass
8	ash	pass
8	zsh	pass
8	mksh	pass
8	ksh	pass
8	toysh	pass
8	sush	pass
8	brush	pass
8	osh	pass
9	bash	pass
9	dash	pass
9	ash	pass
9	zsh	pass
9	mksh	pass
9	ksh	pass
9	toysh	pass
9	sush	pass
9	brush	pass
9	osh	pass
10	bash	ok
10	dash	ok
10	ash	pass
10	zsh	ok
10	mksh	ok
10	ksh	pass
10	toysh	pass
10	sush	pass
10	brush	pass
10	osh	ok
11	bash	N-I
11	dash	ok
11	ash	FAIL
11	zsh	N-I
11	mksh	N-I
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	FAIL
11	osh	pass
12	bash	pass
12	dash	N-I
12	ash	pass
12	zsh	BUG
12	mksh	BUG
12	ksh	FAIL
12	toysh	pass
12	sush	pass
12	brush	pass
12	osh	pass
13	bash	pass
13	dash	ok
13	ash	FAIL
13	zsh	BUG
13	mksh	BUG
13	ksh	FAIL
13	toysh	FAIL
13	sush	pass
13	brush	pass
13	osh	pass
14	bash	pass
14	dash	pass
14	ash	pass
14	zsh	pass
14	mksh	pass
14	ksh	pass
14	toysh	pass
14	sush	pass
14	brush	pass
14	osh	pass
15	bash	pass
15	dash	pass
15	ash	pass
15	zsh	pass
15	mksh	pass
15	ksh	pass
15	toysh	pass
15	sush	pass
15	brush	pass
15	osh	pass
16	bash	pass
16	dash	N-I
16	ash	pass
16	zsh	pass
16	mksh	pass
16	ksh	pass
16	toysh	pass
16	sush	pass
16	brush	pass
16	osh	pass
17	bash	pass
17	dash	N-I
17	ash	pass
17	zsh	pass
17	mksh	pass
17	ksh	pass
17	toysh	pass
17	sush	pass
17	brush	pass
17	osh	pass
18	bash	pass
18	dash	N-I
18	ash	FAIL
18	zsh	pass
18	mksh	pass
18	ksh	pass
18	toysh	pass
18	sush	pass
18	brush	pass
18	osh	pass
19	bash	pass
19	dash	N-I
19	ash	FAIL
19	zsh	BUG
19	mksh	pass
19	ksh	pass
19	toysh	FAIL
19	sush	pass
19	brush	pass
19	osh	pass
20	bash	pass
20	dash	ok
20	ash	FAIL
20	zsh	BUG
20	mksh	BUG
20	ksh	FAIL
20	toysh	FAIL
20	sush	FAIL
20	brush	FAIL
20	osh	pass
21	bash	pass
21	dash	N-I
21	ash	pass
21	zsh	pass
21	mksh	pass
21	ksh	pass
21	toysh	pass
21	sush	pass
21	brush	pass
21	osh	pass
22	bash	pass
22	dash	pass
22	ash	pass
22	zsh	pass
22	mksh	pass
22	ksh	pass
22	toysh	pass
22	sush	pass
22	brush	pass
22	osh	pass
23	bash	pass
23	dash	pass
23	ash	pass
23	zsh	pass
23	mksh	pass
23	ksh	pass
23	toysh	pass
23	sush	pass
23	brush	pass
23	osh	pass
24	bash	pass
24	dash	pass
24	ash	pass
24	zsh	pass
24	mksh	pass
24	ksh	pass
24	toysh	pass
24	sush	pass
24	brush	pass
24	osh	pass
25	bash	pass
25	dash	N-I
25	ash	FAIL
25	zsh	pass
25	mksh	pass
25	ksh	pass
25	toysh	FAIL
25	sush	pass
25	brush	pass
25	osh	pass
26	bash	pass
26	dash	pass
26	ash	pass
26	zsh	pass
26	mksh	pass
26	ksh	pass
26	toysh	pass
26	sush	pass
26	brush	pass
26	osh	pass
27	bash	pass
27	dash	pass
27	ash	pass
27	zsh	pass
27	mksh	pass
27	ksh	pass
27	toysh	pass
27	sush	pass
27	brush	pass
27	osh	pass
28	bash	ok
28	dash	pass
28	ash	pass
28	zsh	BUG
28	mksh	ok
28	ksh	FAIL
28	toysh	FAIL
28	sush	FAIL
28	brush	FAIL
28	osh	pass
29	bash	pass
29	dash	N-I
29	ash	FAIL
29	zsh	ok
29	mksh	pass
29	ksh	pass
29	toysh	FAIL
29	sush	pass
29	brush	pass
29	osh	pass
30	bash	pass
30	dash	N-I
30	ash	pass
30	zsh	pass
30	mksh	pass
30	ksh	pass
30	toysh	pass
30	sush	pass
30	brush	pass
30	osh	pass
31	bash	pass
31	dash	N-I
31	ash	pass
31	zsh	N-I
31	mksh	N-I
31	ksh	FAIL
31	toysh	FAIL
31	sush	pass
31	brush	FAIL
31	osh	pass
32	bash	pass
32	dash	N-I
32	ash	pass
32	zsh	pass
32	mksh	pass
32	ksh	pass
32	toysh	pass
32	sush	pass
32	brush	pass
32	osh	pass
33	bash	pass
33	dash	N-I
33	ash	pass
33	zsh	pass
33	mksh	pass
33	ksh	pass
33	toysh	pass
33	sush	pass
33	brush	pass
33	osh	pass
34	bash	pass
34	dash	pass
34	ash	pass
34	zsh	N-I
34	mksh	N-I
34	ksh	FAIL
34	toysh	pass
34	sush	pass
34	brush	pass
34	osh	pass
35	bash	pass
35	dash	pass
35	ash	pass
35	zsh	N-I
35	mksh	N-I
35	ksh	FAIL
35	toysh	pass
35	sush	pass
35	brush	pass
35	osh	pass
