case	shell	result
0	bash	pass
0	dash	FAIL
0	ash	FAIL
0	zsh	FAIL
0	mksh	FAIL
0	ksh	FAIL
0	toysh	FAIL
0	sush	FAIL
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	FAIL
1	ash	FAIL
1	zsh	FAIL
1	mksh	FAIL
1	ksh	FAIL
1	toysh	FAIL
1	sush	FAIL
1	brush	FAIL
1	osh	pass
2	bash	BUG
2	dash	pass
2	ash	pass
2	zsh	pass
2	mksh	pass
2	ksh	pass
2	toysh	FAIL
2	sush	pass
2	brush	FAIL
2	osh	pass
3	bash	pass
3	dash	FAIL
3	ash	FAIL
3	zsh	pass
3	mksh	FAIL
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	FAIL
3	osh	pass
4	bash	pass
4	dash	FAIL
4	ash	FAIL
4	zsh	FAIL
4	mksh	FAIL
4	ksh	FAIL
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	pass
5	bash	pass
5	dash	FAIL
5	ash	FAIL
5	zsh	FAIL
5	mksh	FAIL
5	ksh	FAIL
5	toysh	FAIL
5	sush	FAIL
5	brush	FAIL
5	osh	ok
6	bash	pass
6	dash	FAIL
6	ash	FAIL
6	zsh	pass
6	mksh	FAIL
6	ksh	FAIL
6	toysh	FAIL
6	sush	FAIL
6	brush	FAIL
6	osh	pass
7	bash	pass
7	dash	FAIL
7	ash	FAIL
7	zsh	FAIL
7	mksh	FAIL
7	ksh	FAIL
7	toysh	FAIL
7	sush	FAIL
7	brush	FAIL
7	osh	pass
8	bash	pass
8	dash	FAIL
8	ash	FAIL
8	zsh	FAIL
8	mksh	FAIL
8	ksh	FAIL
8	toysh	FAIL
8	sush	FAIL
8	brush	FAIL
8	osh	pass
9	bash	pass
9	dash	FAIL
9	ash	FAIL
9	zsh	FAIL
9	mksh	FAIL
9	ksh	FAIL
9	toysh	FAIL
9	sush	FAIL
9	brush	FAIL
9	osh	pass
10	bash	pass
10	dash	FAIL
10	ash	FAIL
10	zsh	FAIL
10	mksh	FAIL
10	ksh	FAIL
10	toysh	FAIL
10	sush	FAIL
10	brush	FAIL
10	osh	pass
11	bash	pass
11	dash	FAIL
11	ash	FAIL
11	zsh	FAIL
11	mksh	FAIL
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	FAIL
11	osh	ok
12	bash	pass
12	dash	FAIL
12	ash	FAIL
12	zsh	FAIL
12	mksh	FAIL
12	ksh	FAIL
12	toysh	FAIL
12	sush	FAIL
12	brush	FAIL
12	osh	ok
13	bash	pass
13	dash	FAIL
13	ash	FAIL
13	zsh	FAIL
13	mksh	FAIL
13	ksh	FAIL
13	toysh	FAIL
13	sush	FAIL
13	brush	FAIL
13	osh	pass
14	bash	pass
14	dash	FAIL
14	ash	FAIL
14	zsh	pass
14	mksh	FAIL
14	ksh	FAIL
14	toysh	FAIL
14	sush	FAIL
14	brush	FAIL
14	osh	pass
15	bash	pass
15	dash	FAIL
15	ash	FAIL
15	zsh	FAIL
15	mksh	FAIL
15	ksh	FAIL
15	toysh	FAIL
15	sush	FAIL
15	brush	FAIL
15	osh	N-I
16	bash	pass
16	dash	FAIL
16	ash	FAIL
16	zsh	FAIL
16	mksh	FAIL
16	ksh	FAIL
16	toysh	FAIL
16	sush	FAIL
16	brush	FAIL
16	osh	N-I
17	bash	pass
17	dash	FAIL
17	ash	FAIL
17	zsh	FAIL
17	mksh	FAIL
17	ksh	FAIL
17	toysh	FAIL
17	sush	FAIL
17	brush	FAIL
17	osh	pass
18	bash	pass
18	dash	FAIL
18	ash	FAIL
18	zsh	FAIL
18	mksh	FAIL
18	ksh	FAIL
18	toysh	FAIL
18	sush	FAIL
18	brush	FAIL
18	osh	FAIL
19	bash	pass
19	dash	FAIL
19	ash	FAIL
19	zsh	FAIL
19	mksh	FAIL
19	ksh	FAIL
19	toysh	FAIL
19	sush	FAIL
19	brush	FAIL
19	osh	FAIL
20	bash	pass
20	dash	N-I
20	ash	N-I
20	zsh	FAIL
20	mksh	N-I
20	ksh	FAIL
20	toysh	FAIL
20	sush	FAIL
20	brush	FAIL
20	osh	pass
21	bash	pass
21	dash	N-I
21	ash	N-I
21	zsh	FAIL
21	mksh	N-I
21	ksh	FAIL
21	toysh	FAIL
21	sush	FAIL
21	brush	FAIL
21	osh	pass
22	bash	pass
22	dash	N-I
22	ash	N-I
22	zsh	FAIL
22	mksh	N-I
22	ksh	FAIL
22	toysh	FAIL
22	sush	FAIL
22	brush	FAIL
22	osh	pass
