case	shell	result
0	bash	pass
0	dash	FAIL
0	ash	FAIL
0	zsh	pass
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	FAIL
1	ash	FAIL
1	zsh	pass
1	mksh	FAIL
1	ksh	FAIL
1	toysh	FAIL
1	sush	pass
1	brush	pass
1	osh	FAIL
2	bash	FAIL
2	dash	FAIL
2	ash	FAIL
2	zsh	pass
2	mksh	FAIL
2	ksh	FAIL
2	toysh	FAIL
2	sush	FAIL
2	brush	FAIL
2	osh	FAIL
3	bash	FAIL
3	dash	FAIL
3	ash	FAIL
3	zsh	pass
3	mksh	FAIL
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	FAIL
3	osh	FAIL
4	bash	FAIL
4	dash	FAIL
4	ash	FAIL
4	zsh	pass
4	mksh	FAIL
4	ksh	FAIL
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	FAIL
5	bash	FAIL
5	dash	FAIL
5	ash	FAIL
5	zsh	pass
5	mksh	FAIL
5	ksh	FAIL
5	toysh	FAIL
5	sush	FAIL
5	brush	FAIL
5	osh	FAIL
6	bash	pass
6	dash	FAIL
6	ash	FAIL
6	zsh	pass
6	mksh	FAIL
6	ksh	FAIL
6	toysh	FAIL
6	sush	pass
6	brush	pass
6	osh	pass
